"";"disp_id";"district_id";"account_id";"client_id";"type.x";"gender";"age";"loan_id";"date";"amount";"duration";"payments";"status";"current_time";"name";"region";"no..of.inhabitants";"no..of.municipalities.with.inhabitants...499";"no..of.municipalities.with.inhabitants.500.1999";"no..of.municipalities.with.inhabitants.2000.9999";"no..of.municipalities.with.inhabitants..10000";"no..of.cities";"ratio.of.urban.inhabitants";"average.salary";"unemploymant.rate..95";"unemploymant.rate..96";"no..of.enterpreneurs.per.1000.inhabitants";"no..of.commited.crimes..95";"no..of.commited.crimes..96";"card_id";"type.y";"issued";"weeks"
"59";2623;16;2167;2623;"OWNER";"1";33;5390;1994-10-30;170256;24;7094;1;214,291666666667;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"60";2635;67;2176;2635;"OWNER";"1";32;5395;1994-07-30;299088;36;8308;-1;227,440476190476;"Bruntal";"north Moravia";106054;38;25;6;2;6;"63.1";8110;"5.77";"6.55";109;3244;3079;NA;NA;NA;NA
"61";2686;19;2218;2686;"OWNER";"1";48;5409;1995-11-18;182040;60;3034;1;159,434523809524;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"62";2687;19;2218;2687;"DISPONENT";"0";49;5409;1995-11-18;182040;60;3034;1;159,434523809524;"Prachatice";"south Bohemia";51428;50;11;3;1;4;"52.7";8402;"3.13";"3.98";120;999;1099;NA;NA;NA;NA
"63";2698;31;2227;2698;"OWNER";"1";28;5413;1995-12-12;92976;24;3874;1;156,005952380952;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"64";2699;31;2227;2699;"DISPONENT";"0";22;5413;1995-12-12;92976;24;3874;1;156,005952380952;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"65";2700;34;2228;2700;"OWNER";"0";54;5414;1995-03-29;185952;48;3874;1;192,869047619048;"Chomutov";"north Bohemia";125236;28;11;1;4;5;"87.7";9675;"6.43";"7.68";100;5323;5190;NA;NA;NA;NA
"66";2708;73;2236;2708;"OWNER";"0";40;5415;1996-09-26;139464;36;3874;-1;114,720238095238;"Opava";"north Moravia";182027;17;49;12;2;7;"56.4";8746;"3.33";"3.74";90;4355;4433;NA;NA;NA;NA
"67";2719;29;2245;2719;"OWNER";"1";34;5418;1995-01-16;347952;48;7249;1;203,14880952381;"Rokycany";"west Bohemia";45714;52;10;5;1;6;"55.6";8843;"2.82";"3.60";113;818;888;NA;NA;NA;NA
"68";2746;1;2268;2746;"OWNER";"0";28;5429;1996-07-18;20196;36;561;1;124,720238095238;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"69";2809;33;2322;2809;"OWNER";"0";20;5445;1996-06-29;46320;24;1930;1;127,434523809524;"Decin";"north Bohemia";133777;24;17;7;3;11;"84.7";8705;"5.75";"7.61";116;4650;4859;NA;NA;NA;NA
"70";2831;68;2343;2831;"OWNER";"1";18;5449;1995-11-04;99336;24;4139;1;161,434523809524;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;"57.2";9893;"4.09";"4.72";96;5623;5887;NA;NA;NA;NA
"71";2834;52;2345;2834;"OWNER";"0";49;5450;1994-12-11;199680;60;3328;1;208,291666666667;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"72";2843;70;2352;2843;"OWNER";"1";32;5452;1996-04-29;49440;60;824;1;136,14880952381;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"73";2853;28;2361;2853;"OWNER";"1";43;5453;1995-04-01;156672;36;4352;1;192,440476190476;"Plzen - sever";"west Bohemia";72541;66;26;10;0;8;"36.9";8594;"1.62";"2.01";112;1580;1525;NA;NA;NA;NA
"74";2922;43;2419;2922;"OWNER";"0";58;5464;1995-01-30;95808;12;7984;1;201,14880952381;"Hradec Kralove";"east Bohemia";161854;73;21;6;1;6;"76.3";9425;"1.72";"2.50";125;4085;3891;NA;NA;NA;NA
"75";2966;65;2456;2966;"OWNER";"0";44;5470;1996-04-15;200976;48;4187;1;138,14880952381;"Znojmo";"south Moravia";114200;101;41;4;1;4;"43.7";8403;"5.74";"5.72";105;2157;2718;NA;NA;NA;NA
"76";3001;1;2486;3001;"OWNER";"0";40;5479;1994-01-10;24516;12;2043;1;256,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"77";3013;51;2496;3013;"OWNER";"1";49;5482;1996-01-12;165120;60;2752;1;151,577380952381;"Trutnov";"east Bohemia";121947;37;28;7;3;11;"70.5";8541;"2.51";"2.97";131;3496;3839;NA;NA;NA;NA
"78";3014;51;2496;3014;"DISPONENT";"0";45;5482;1996-01-12;165120;60;2752;1;151,577380952381;"Trutnov";"east Bohemia";121947;37;28;7;3;11;"70.5";8541;"2.51";"2.97";131;3496;3839;NA;NA;NA;NA
"79";3103;64;2572;3103;"OWNER";"1";26;5494;1996-06-13;360000;48;7500;1;129,720238095238;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"80";3113;60;2580;3113;"OWNER";"1";27;5495;1996-08-02;89340;60;1489;1;122,577380952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"81";3114;60;2580;3114;"DISPONENT";"0";28;5495;1996-08-02;89340;60;1489;1;122,577380952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"82";3251;52;2694;3251;"OWNER";"1";36;5519;1994-03-08;91632;12;7636;1;248,005952380952;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"83";3252;52;2694;3252;"DISPONENT";"0";38;5519;1994-03-08;91632;12;7636;1;248,005952380952;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"84";3264;63;2705;3264;"OWNER";"1";48;5523;1993-12-08;93888;36;2608;1;260,863095238095;"Vyskov";"south Moravia";86513;38;36;5;1;5;"50.5";8288;"3.79";"4.52";110;1562;1460;NA;NA;NA;NA
"85";3335;11;2762;3335;"OWNER";"0";32;5533;1994-07-05;111384;24;4641;1;231,011904761905;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"86";3414;11;2824;3414;"OWNER";"1";51;5549;1994-07-16;50460;60;841;1;229,440476190476;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"87";3519;74;2912;3519;"OWNER";"0";49;5563;1996-02-29;380160;60;6336;1;144,720238095238;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"88";3542;10;2933;3542;"OWNER";"0";59;5568;1994-05-17;272520;60;4542;1;238,011904761905;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"89";3543;10;2933;3543;"DISPONENT";"1";57;5568;1994-05-17;272520;60;4542;1;238,011904761905;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"90";3576;1;2962;3576;"OWNER";"1";60;5576;1994-12-21;31248;12;2604;1;206,863095238095;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"91";3616;77;2994;3616;"OWNER";"1";35;5586;1996-09-14;48744;36;1354;1;116,434523809524;"Vsetin";"north Moravia";148545;8;35;12;3;4;"53.5";8909;"4.01";"5.56";113;3460;3590;NA;NA;NA;NA
"92";3649;10;3021;3649;"OWNER";"1";39;5591;1996-12-04;155616;48;3242;1;104,857142857143;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"93";3670;44;3037;3670;"OWNER";"1";18;5593;1996-04-18;277884;36;7719;-1;137,720238095238;"Chrudim";"east Bohemia";105606;77;26;7;2;7;"53.0";8254;"2.79";"3.76";97;2166;2325;NA;NA;NA;NA
"94";3687;49;3050;3687;"OWNER";"0";27;5595;1994-09-02;82896;12;6908;1;222,583333333333;"Semily";"east Bohemia";75685;31;28;5;1;9;"60.8";8208;"1.89";"2.26";155;1660;2123;577;"classic";1994-02-15;251,005952380952
"95";3688;49;3050;3688;"DISPONENT";"1";24;5595;1994-09-02;82896;12;6908;1;222,583333333333;"Semily";"east Bohemia";75685;31;28;5;1;9;"60.8";8208;"1.89";"2.26";155;1660;2123;NA;NA;NA;NA
"96";3705;1;3064;3705;"OWNER";"1";33;5599;1995-03-21;15420;12;1285;1;194,005952380952;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"97";3730;59;3084;3730;"OWNER";"1";53;5606;1996-08-28;253512;36;7042;-1;118,863095238095;"Kromeriz";"south Moravia";108871;41;29;7;2;6;"62.1";8444;"3.24";"3.47";106;2595;2305;NA;NA;NA;NA
"98";3763;38;3112;3763;"OWNER";"1";21;5610;1996-02-24;123216;48;2567;1;145,434523809524;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"99";3764;38;3112;3764;"DISPONENT";"0";21;5610;1996-02-24;123216;48;2567;1;145,434523809524;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"100";3767;14;3115;3767;"OWNER";"0";62;5611;1996-11-15;321180;60;5353;1;107,571428571429;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;"74.8";10045;"1.42";"1.71";135;6604;6295;NA;NA;NA;NA
"101";3768;14;3115;3768;"DISPONENT";"1";55;5611;1996-11-15;321180;60;5353;1;107,571428571429;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;"74.8";10045;"1.42";"1.71";135;6604;6295;NA;NA;NA;NA
"102";3829;59;3166;3829;"OWNER";"0";27;5624;1995-01-03;177744;48;3703;-1;205,005952380952;"Kromeriz";"south Moravia";108871;41;29;7;2;6;"62.1";8444;"3.24";"3.47";106;2595;2305;NA;NA;NA;NA
"103";3855;29;3189;3855;"OWNER";"0";60;5625;1996-12-15;222180;60;3703;-1;103,285714285714;"Rokycany";"west Bohemia";45714;52;10;5;1;6;"55.6";8843;"2.82";"3.60";113;818;888;NA;NA;NA;NA
"104";3907;1;3230;3907;"OWNER";"1";44;5635;1996-10-04;77184;36;2144;1;113,577380952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"105";4056;63;3354;4056;"OWNER";"1";46;5657;1994-07-05;4980;12;415;1;231,011904761905;"Vyskov";"south Moravia";86513;38;36;5;1;5;"50.5";8288;"3.79";"4.52";110;1562;1460;NA;NA;NA;NA
"106";4217;9;3489;4217;"OWNER";"1";47;5693;1995-08-01;44088;24;1837;1;175,011904761905;"Nymburk";"central Bohemia";81344;61;23;4;2;6;"55.3";8899;"3.39";"3.97";149;2987;2487;NA;NA;NA;NA
"107";4352;72;3608;4352;"OWNER";"0";27;5706;1996-05-24;161496;36;4486;1;132,577380952381;"Olomouc";"north Moravia";226122;32;50;7;4;4;"62.6";8994;"3.80";"4.79";110;9672;9208;NA;NA;NA;NA
"108";4377;48;3629;4377;"OWNER";"0";21;5713;1995-05-30;158760;60;2646;1;184,011904761905;"Rychnov nad Kneznou";"east Bohemia";78955;50;24;8;1;9;"59.0";9060;"1.78";"2.44";124;1655;1717;NA;NA;NA;NA
"109";4428;38;3674;4428;"OWNER";"0";45;5723;1994-09-10;23628;12;1969;1;221,440476190476;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"110";4433;1;3678;4433;"OWNER";"0";31;5724;1995-02-05;316140;60;5269;-1;200,291666666667;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"111";4434;64;3679;4434;"OWNER";"0";35;5725;1996-07-23;444864;48;9268;1;124,005952380952;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"112";4435;64;3679;4435;"DISPONENT";"1";33;5725;1996-07-23;444864;48;9268;1;124,005952380952;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"113";4520;1;3747;4520;"OWNER";"1";41;5739;1995-01-02;76380;12;6365;1;205,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
